fname,vars,xors,hard nonxor clauses,soft clauses,SAT,orig time,new time
Net22_84_16_count_116.cnf-x170_wcnf_xor_blasted,219,170,234,116,?,Z,X
Net22_84_16_count_116.cnf-x171_wcnf_xor_blasted,219,171,234,116,?,Z,X
Net22_84_16_count_116.cnf-x172_wcnf_xor_blasted,219,172,234,116,?,Z,X
Net22_84_16_count_116.cnf-x173_wcnf_xor_blasted,219,173,234,116,?,Z,X
Net22_84_16_count_116.cnf-x174_wcnf_xor_blasted,219,174,234,116,?,Z,X
Net22_84_16_count_116.cnf-x175_wcnf_xor_blasted,219,175,234,116,?,Z,X
Net22_84_16_count_116.cnf-x176_wcnf_xor_blasted,219,176,234,116,?,Z,X
Net22_84_16_count_116.cnf-x177_wcnf_xor_blasted,219,177,234,116,?,Z,X
Net22_84_16_count_116.cnf-x178_wcnf_xor_blasted,219,178,234,116,?,Z,X
Net22_84_16_count_116.cnf-x179_wcnf_xor_blasted,219,179,234,116,?,Z,X
Net22_84_16_count_116.cnf-x180_wcnf_xor_blasted,219,180,234,116,?,Z,X
Net22_84_16_count_116.cnf-x181_wcnf_xor_blasted,219,181,234,116,?,Z,X
Net22_84_16_count_116.cnf-x182_wcnf_xor_blasted,219,182,234,116,?,Z,X
Net22_84_16_count_116.cnf-x183_wcnf_xor_blasted,219,183,234,116,?,Z,X
Net22_84_16_count_116.cnf-x184_wcnf_xor_blasted,219,184,234,116,?,Z,X
Net22_84_16_count_116.cnf-x185_wcnf_xor_blasted,219,185,234,116,?,Z,X
Net22_84_16_count_116.cnf-x186_wcnf_xor_blasted,219,186,234,116,?,Z,X
Net22_84_16_count_116.cnf-x187_wcnf_xor_blasted,219,187,234,116,?,Z,X
Net22_84_16_count_116.cnf-x188_wcnf_xor_blasted,219,188,234,116,?,Z,X
Net22_84_16_count_116.cnf-x189_wcnf_xor_blasted,219,189,234,116,UNSAT,Z,1686.76
Net22_84_16_count_116.cnf-x190_wcnf_xor_blasted,219,190,234,116,UNSAT,Z,501.74
Net22_84_16_count_116.cnf-x191_wcnf_xor_blasted,219,191,234,116,UNSAT,Z,793.18
Net22_84_16_count_116.cnf-x192_wcnf_xor_blasted,219,192,234,116,UNSAT,Z,421.25
Net22_84_16_count_116.cnf-x193_wcnf_xor_blasted,219,193,234,116,UNSAT,Z,92.78
Net22_84_16_count_116.cnf-x194_wcnf_xor_blasted,219,194,234,116,UNSAT,Z,55.47
