fname,vars,xors,hard nonxor clauses,soft clauses,SAT,orig time,new time
seed-10-xors-0-x_10.grid,49,0,0,193,SAT,0.01,0.02
seed-10-xors-0-x_11.grid,49,0,0,193,SAT,0.01,0.01
seed-10-xors-0-x_12.grid,49,0,0,193,SAT,0.01,0.02
seed-10-xors-0-x_13.grid,49,0,0,193,SAT,0.01,0.02
seed-10-xors-0-x_14.grid,49,0,0,193,SAT,0.01,0.01
seed-10-xors-0-x_15.grid,49,0,0,193,SAT,0.02,0.02
seed-10-xors-0-x_2.grid,49,0,0,193,SAT,0.01,0.01
seed-10-xors-0-x_3.grid,49,0,0,193,SAT,0.01,0.01
seed-10-xors-0-x_4.grid,49,0,0,193,SAT,0.01,0.01
seed-10-xors-0-x_5.grid,49,0,0,193,SAT,0.01,0.02
seed-10-xors-0-x_6.grid,49,0,0,193,SAT,0.01,0.01
seed-10-xors-0-x_7.grid,49,0,0,193,SAT,0.01,0.02
seed-10-xors-0-x_8.grid,49,0,0,193,SAT,0.02,0.01
seed-10-xors-0-x_9.grid,49,0,0,193,SAT,0.01,0.01
seed-10-xors-10-x_10.grid,49,10,0,193,SAT,181.17,13.81
seed-10-xors-10-x_11.grid,49,10,0,193,SAT,209.83,12.55
seed-10-xors-10-x_12.grid,49,10,0,193,SAT,29.39,2.08
seed-10-xors-10-x_13.grid,49,10,0,193,SAT,8.09,9.01
seed-10-xors-10-x_14.grid,49,10,0,193,SAT,23.78,0.47
seed-10-xors-10-x_15.grid,49,10,0,193,SAT,5.98,0.47
seed-10-xors-10-x_2.grid,49,10,0,193,SAT,9.77,0.92
seed-10-xors-10-x_3.grid,49,10,0,193,SAT,31.30,2.72
seed-10-xors-10-x_4.grid,49,10,0,193,SAT,44.19,4.66
seed-10-xors-10-x_5.grid,49,10,0,193,SAT,258.27,8.61
seed-10-xors-10-x_6.grid,49,10,0,193,SAT,26.40,3.08
seed-10-xors-10-x_7.grid,49,10,0,193,SAT,63.95,9.05
seed-10-xors-10-x_8.grid,49,10,0,193,SAT,55.42,4.70
seed-10-xors-10-x_9.grid,49,10,0,193,SAT,44.92,1.58
seed-10-xors-11-x_10.grid,49,11,0,193,SAT,301.33,14.41
seed-10-xors-11-x_11.grid,49,11,0,193,SAT,134.97,6.17
seed-10-xors-11-x_12.grid,49,11,0,193,SAT,214.56,15.33
seed-10-xors-11-x_13.grid,49,11,0,193,SAT,126.55,12.65
seed-10-xors-11-x_14.grid,49,11,0,193,SAT,9.17,0.96
seed-10-xors-11-x_15.grid,49,11,0,193,SAT,254.22,5.84
seed-10-xors-11-x_2.grid,49,11,0,193,SAT,31.87,0.92
seed-10-xors-11-x_3.grid,49,11,0,193,SAT,16.37,0.68
seed-10-xors-11-x_4.grid,49,11,0,193,SAT,87.67,4.10
seed-10-xors-11-x_5.grid,49,11,0,193,SAT,301.65,12.35
seed-10-xors-11-x_6.grid,49,11,0,193,SAT,3.09,0.54
seed-10-xors-11-x_7.grid,49,11,0,193,SAT,100.32,11.63
seed-10-xors-11-x_8.grid,49,11,0,193,SAT,158.18,9.30
seed-10-xors-11-x_9.grid,49,11,0,193,SAT,54.77,3.88
seed-10-xors-12-x_10.grid,49,12,0,193,SAT,307.33,19.57
seed-10-xors-12-x_11.grid,49,12,0,193,SAT,301.95,5.95
seed-10-xors-12-x_12.grid,49,12,0,193,SAT,239.80,15.56
seed-10-xors-12-x_13.grid,49,12,0,193,SAT,58.05,6.54
seed-10-xors-12-x_14.grid,49,12,0,193,SAT,89.61,4.89
seed-10-xors-12-x_15.grid,49,12,0,193,SAT,220.17,7.00
seed-10-xors-12-x_2.grid,49,12,0,193,SAT,64.19,1.70
seed-10-xors-12-x_3.grid,49,12,0,193,SAT,291.56,7.03
seed-10-xors-12-x_4.grid,49,12,0,193,SAT,3.36,0.29
seed-10-xors-12-x_5.grid,49,12,0,193,SAT,305.19,11.47
seed-10-xors-12-x_6.grid,49,12,0,193,SAT,130.39,5.41
